PHONE,IMEI1,IMEI2,TYPE,START,END,TOWER,LATITUDE,LONGITUDE,OPERATORS,DURATION
9483122421,963617088738152,948319409847818,CALLOUT,2009-07-24 10:12:35,2009-07-24 11:08:26,94674522,-23.008148,134.990431,Idea,3351
6801142180,246495093731280,680122539536030,CALLIN,2009-08-08 21:56:59,2009-08-08 22:32:43,51335514,-26.338531,128.548759,Idea,2144
9690557818,246495093731280,969062616194970,CALLIN,2009-08-09 09:42:24,2009-08-09 10:16:08,30575152,-27.925934,125.809617,Airtel,2024
9690557818,246495093731280,969061979605564,CALLIN,2010-01-04 21:13:38,2010-01-04 21:24:01,11106892,-28.320639,133.099388,Airtel,623
8663661549,246495093731280,866375724427345,SMSOUT,2010-01-26 07:26:28,2010-01-26 07:26:28,51042630,-24.132767,130.525471,Idea,0
9151775771,963617088738152,915185624304348,CALLOUT,2010-02-18 04:28:47,2010-02-18 05:22:14,55420863,-29.256806,121.093691,Idea,3207
6866247197,963617088738152,686632166764947,CALLIN,2010-02-27 02:04:18,2010-02-27 02:14:44,39317971,-21.7172,125.879776,Vodafone,626
6866247197,246495093731280,686634191167023,SMSOUT,2010-03-03 13:57:34,2010-03-03 13:57:34,25232476,-6.415631,43.517739,Jio,0
9151775771,963617088738152,915184369158465,SMSOUT,2010-03-03 21:10:04,2010-03-03 21:10:04,12095904,-6.784181,37.462919,Jio,0
6866247197,963617088738152,686634289227345,SMSIN,2010-06-22 04:19:24,2010-06-22 04:19:24,23371488,-16.661572,30.051761,Idea,0
8620088362,321807395986361,862015628258465,CALLIN,2010-08-29 16:00:15,2010-08-29 16:54:25,44259165,-12.785707,38.123321,Vodafone,3250
8761315357,963617088738152,876138327758465,CALLOUT,2010-10-27 21:01:28,2010-10-27 21:44:12,19224253,-14.809191,21.286763,Idea,2564
8413529662,246495093731280,841361117875677,SMSIN,2010-11-05 17:23:25,2010-11-05 17:23:25,54005613,-9.06425,32.244712,Idea,0
7675685895,321807395986361,767576911036030,SMSOUT,2011-01-14 23:40:16,2011-01-14 23:40:16,21314455,-5.451164,33.055474,Airtel,0
6905728440,246495093731280,690580396561917,CALLIN,2011-02-15 12:52:04,2011-02-15 13:18:19,75388377,-11.560416,45.410922,BSNL,1575
8229075384,963617088738152,822916615081363,SMSIN,2011-02-17 18:26:36,2011-02-17 18:26:36,99234372,4.591399,33.646866,Jio,0
7554544563,321807395986361,755463927767023,CALLIN,2011-02-25 23:43:16,2011-02-26 01:12:57,53229378,-5.027152,25.880728,Vodafone,5381
8761315357,321807395986361,876140384125420,SMSIN,2011-03-29 16:12:43,2011-03-29 16:12:43,24734568,-6.29012,39.402273,BSNL,0
6866247197,321807395986361,686634048481741,CALLOUT,2011-07-15 13:15:25,2011-07-15 13:51:58,62337067,-11.4727,30.135261,Airtel,2193
8761315357,963617088738152,876140506779030,CALLIN,2011-09-14 23:18:47,2011-09-14 23:42:35,79233827,-0.146021,36.795504,Idea,1428
7554544563,963617088738152,755464025827345,SMSOUT,2011-09-15 09:04:27,2011-09-15 09:04:27,17560720,-16.236325,32.382417,Jio,0
6866247197,246495093731280,686634048481741,SMSIN,2011-09-20 12:16:49,2011-09-20 12:16:49,96086358,-14.030486,34.784358,Airtel,0
7411244013,246495093731280,741133249725420,CALLOUT,2012-02-01 05:38:16,2012-02-01 06:13:32,37106812,-3.059856,26.583818,Airtel,2116
7554544563,246495093731280,755463927767023,SMSIN,2012-08-31 05:36:37,2012-08-31 05:36:37,71688421,-19.467456,38.163361,Jio,0
7005442921,246495093731280,700553368781363,SMSOUT,2012-11-25 00:54:10,2012-11-25 00:54:10,94243901,-9.41996,38.633892,BSNL,0
9341772967,246495093731280,934186866227345,SMSIN,2012-12-30 15:06:53,2012-12-30 15:06:53,82246107,2.140621,34.665391,Idea,0
6801142180,321807395986361,680123085266256,CALLIN,2012-12-31 17:22:03,2012-12-31 18:42:47,87916954,-10.038702,34.894843,Idea,4844
7145501066,246495093731280,714558955025420,CALLOUT,2013-03-30 02:03:09,2013-03-30 03:32:51,78532896,17.59755,57.082689,Vodafone,5382
7005442921,321807395986361,700551084158465,CALLOUT,2013-05-15 09:35:20,2013-05-15 09:42:00,64219392,26.593024,50.755237,Vodafone,400
8229075384,246495093731280,822916509479030,SMSIN,2013-06-17 09:43:35,2013-06-17 09:43:35,68184559,24.956521,54.797562,Vodafone,0
7590533005,321807395986361,759061347704348,CALLOUT,2013-07-06 08:55:16,2013-07-06 09:56:03,83215471,18.26573,61.720618,Vodafone,3647
8631206369,321807395986361,863128083964947,CALLIN,2013-11-01 00:47:38,2013-11-01 01:05:43,68581754,24.64511,58.885652,Vodafone,1085
6905728440,321807395986361,690579636058465,CALLIN,2013-12-05 18:20:17,2013-12-05 18:47:03,54989078,28.977637,54.981395,Jio,1606
7554544563,246495093731280,755463427379030,CALLIN,2013-12-23 09:11:56,2013-12-23 09:53:02,35151298,22.057478,60.105474,BSNL,2466
7005442921,321807395986361,700551559541157,CALLOUT,2014-03-01 04:20:25,2014-03-01 05:36:56,10744902,33.099657,62.384052,Airtel,4591
7145501066,246495093731280,714559183281363,SMSIN,2014-03-09 09:35:29,2014-03-09 09:35:29,64742825,25.296272,54.195821,Airtel,0
8047965887,963617088738152,804806158227345,CALLIN,2014-03-13 05:59:21,2014-03-13 07:14:07,84397807,34.492383,59.630923,Jio,4486
6879401290,963617088738152,687948996266256,CALLIN,2014-03-26 10:13:19,2014-03-26 11:03:46,74150776,27.260236,56.168103,Vodafone,3027
7675685895,246495093731280,767574813093863,SMSIN,2014-05-22 06:59:50,2014-05-22 06:59:50,98359645,20.852471,46.978443,Jio,0
6905728440,963617088738152,690581592413685,CALLOUT,2014-08-17 00:47:52,2014-08-17 02:07:53,79989778,33.889884,61.122816,Vodafone,4801
7554544563,321807395986361,755464025827345,CALLIN,2014-10-20 23:22:32,2014-10-20 23:52:07,46906985,27.858881,56.417109,BSNL,1775
9151775771,321807395986361,915187337943399,CALLOUT,2014-10-26 21:43:16,2014-10-26 21:58:40,95295327,22.278004,60.402561,BSNL,924
7145501066,321807395986361,714558428136030,CALLIN,2014-10-28 01:48:55,2014-10-28 02:58:43,24680103,25.45797,55.705963,Idea,4188
9690557818,246495093731280,969062573858465,SMSIN,2014-10-29 08:09:01,2014-10-29 08:09:01,76184164,18.861451,54.362127,BSNL,0
7735748326,963617088738152,773581056193863,CALLIN,2014-12-06 08:53:25,2014-12-06 09:24:58,78695978,30.314849,53.82591,Idea,1893
7101379893,246495093731280,710147750143399,SMSOUT,2014-12-28 22:39:52,2014-12-28 22:39:52,35407480,23.330072,61.443984,Idea,0
9690557818,321807395986361,969065253267023,CALLIN,2015-09-20 16:49:23,2015-09-20 16:50:13,53151823,26.1117,53.451442,Airtel,50
9151775771,321807395986361,915185898636030,CALLOUT,2015-10-17 02:43:40,2015-10-17 04:04:33,90393124,37.175558,46.676625,BSNL,4853
8620088362,963617088738152,862015059793863,SMSOUT,2016-03-01 12:35:16,2016-03-01 12:35:16,31378671,35.344924,43.553506,Airtel,0
7590533005,963617088738152,759060853061917,SMSIN,2016-04-11 01:06:04,2016-04-11 01:06:04,16950908,25.721848,46.108692,BSNL,0
7554544563,246495093731280,755463323566256,SMSOUT,2016-04-30 10:01:25,2016-04-30 10:01:25,74018202,29.846502,40.817558,BSNL,0
8761315357,963617088738152,876140612381363,CALLOUT,2016-05-20 17:16:25,2016-05-20 18:28:28,32703309,28.832518,41.167453,Idea,4323
7411244013,963617088738152,741134192264029,CALLOUT,2016-06-17 11:27:08,2016-06-17 12:16:52,35650727,33.730119,40.440496,BSNL,2984
7101379893,321807395986361,710145157047818,CALLIN,2016-07-04 14:21:43,2016-07-04 14:52:52,37479782,30.087579,40.497834,Airtel,1869
9151775771,321807395986361,915187443028899,CALLIN,2016-08-09 13:39:24,2016-08-09 15:02:52,36063500,31.652611,41.504481,Airtel,5008
7554544563,321807395986361,755463427379030,CALLIN,2017-01-26 03:29:24,2017-01-26 03:36:28,23297424,32.1298,35.064436,Vodafone,424
6866247197,321807395986361,686633041236030,CALLOUT,2017-02-11 05:51:02,2017-02-11 07:17:28,25168961,36.687707,42.247672,Jio,5186
7590533005,963617088738152,759060468247818,SMSOUT,2017-03-05 04:51:01,2017-03-05 04:51:01,88471999,34.603091,43.567488,BSNL,0
7411244013,321807395986361,741134192264029,CALLIN,2017-03-21 09:22:03,2017-03-21 09:45:59,38205872,34.614983,39.981511,Airtel,1436
7590533005,321807395986361,759059913024029,CALLOUT,2017-05-25 18:09:49,2017-05-25 19:20:05,42405155,36.995326,37.891194,Jio,4216
9483122421,963617088738152,948321090525420,CALLOUT,2017-07-02 10:34:22,2017-07-02 11:28:47,31630661,34.113541,43.252754,BSNL,3265
8413529662,321807395986361,841361013404348,CALLOUT,2017-07-09 05:01:00,2017-07-09 05:42:18,43598959,34.264802,41.303498,Airtel,2478
7554544563,963617088738152,755462777836030,CALLIN,2017-07-13 12:53:34,2017-07-13 13:43:55,77065633,28.642236,40.945282,Jio,3021
8047965887,321807395986361,804804035764947,CALLIN,2017-09-14 07:12:36,2017-09-14 07:12:40,98415451,39.012094,45.018436,BSNL,4
7590533005,246495093731280,759060853061917,SMSOUT,2017-10-20 14:40:27,2017-10-20 14:40:27,78086188,31.936887,46.783027,Vodafone,0
8761315357,963617088738152,876140402966256,SMSIN,2018-02-24 19:02:23,2018-02-24 19:02:23,28799706,31.116278,39.28967,BSNL,0
8761315357,963617088738152,876138327758465,SMSOUT,2018-02-25 09:17:09,2018-02-25 09:17:09,18020437,34.196011,45.320654,Jio,0
8761315357,321807395986361,876141105227345,SMSOUT,2018-03-09 18:43:41,2018-03-09 18:43:41,75873267,42.229882,-98.159335,Idea,0
8620088362,963617088738152,862018307667023,CALLOUT,2018-05-18 22:39:51,2018-05-18 22:40:08,30849004,38.805802,-94.766862,Airtel,17
8663661549,246495093731280,866373601964947,CALLIN,2018-11-19 02:27:14,2018-11-19 02:40:47,26672514,28.385778,-94.647118,Airtel,813
8846721331,246495093731280,884681893943399,CALLIN,2019-01-11 11:41:36,2019-01-11 12:58:29,22312836,31.168009,-94.094579,BSNL,4613
7735748326,246495093731280,773581445124029,SMSIN,2019-01-14 08:51:07,2019-01-14 08:51:07,97356869,30.955286,-92.889235,Jio,0
8620088362,246495093731280,862018164981741,CALLIN,2019-02-02 17:47:00,2019-02-02 18:42:13,10840673,32.557857,-94.645948,BSNL,3313
8631206369,246495093731280,863128958436030,CALLOUT,2019-02-05 06:53:46,2019-02-05 07:39:53,15878087,38.492137,-96.061782,BSNL,2767
7554544563,246495093731280,755460679893863,SMSOUT,2019-08-07 06:30:08,2019-08-07 06:30:08,40324423,30.656948,-92.031144,Airtel,0
8413529662,963617088738152,841362535727345,CALLIN,2020-03-27 17:31:55,2020-03-27 18:21:54,89403814,44.705573,-101.141311,Airtel,2999
8663661549,246495093731280,866375626367023,SMSOUT,2020-04-23 03:44:46,2020-04-23 03:44:46,40086136,29.725831,-94.963607,Jio,0
9690557818,963617088738152,969063933475677,SMSOUT,2020-04-23 07:31:07,2020-04-23 07:31:07,60491890,35.212663,-93.422231,Airtel,0
9483122421,246495093731280,948319794661917,CALLOUT,2020-05-03 22:14:39,2020-05-03 23:09:30,13646060,36.263111,-97.722849,Airtel,3291
8846721331,963617088738152,884680881513685,CALLOUT,2020-06-23 00:34:14,2020-06-23 01:37:35,51138082,27.017622,-97.158628,BSNL,3801
7411244013,963617088738152,741134162143399,SMSOUT,2020-08-18 21:44:46,2020-08-18 21:44:46,52224360,39.575584,-91.09823,Jio,0
6866247197,321807395986361,686634289227345,CALLIN,2020-10-07 08:01:04,2020-10-07 08:22:44,17689482,35.108285,-89.093385,Airtel,1300
9151775771,321807395986361,915186653781363,SMSIN,2020-10-14 13:30:38,2020-10-14 13:30:38,70849838,42.603647,-97.702708,BSNL,0
7735748326,963617088738152,773584402127345,CALLOUT,2021-04-17 11:32:31,2021-04-17 11:40:17,80123504,40.592852,-97.096902,Idea,466
8413529662,246495093731280,841361814625420,SMSOUT,2021-05-15 20:55:33,2021-05-15 20:55:33,55660361,33.563603,-92.472512,Airtel,0
7554544563,246495093731280,755462777836030,SMSIN,2021-07-05 08:04:20,2021-07-05 08:04:20,14204610,40.397495,-90.542764,Jio,0
9341772967,963617088738152,934187057543399,SMSOUT,2021-09-30 02:04:07,2021-09-30 02:04:07,57939644,36.962802,-95.873476,Airtel,0
